Index;Title;Result;Request;Response Status;Response Time;Type;
11.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.013045;;
11.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.015794;;
12;2nd Create new task with unexisting tags while authentified;NOK;;;;OK;
12.0;setCredentials;OK;setCredentials;0;[];;
12.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.018318;;
12.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.017548;;
13;Create new task with tags > 20 char, while authentified;NOK;;;;NOK;
13.0;setCredentials;OK;setCredentials;0;[];;
13.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.018702;;
13.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;500;0:00:00.018628;;
14;Create new task with existing tag while authentified with another user;NOK;;;;OK;
14.0;setCredentials;OK;setCredentials;0;[];;
14.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.015528;;
14.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.024345;;
15;2nd Create new task with existing tag while authentified with another user;NOK;;;;OK;
15.0;setCredentials;OK;setCredentials;0;[];;
15.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.011781;;
15.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.019072;;
16;Create new task with already existing title;NOK;;;;NOK;
16.0;setCredentials;OK;setCredentials;0;[];;
16.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.014536;;
16.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;500;0:00:00.012958;;
17;Retrieve Task information for an existing task;OK;;;;OK;
17.0;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/1;200;0:00:00.514132;;
18;Update valid Task while unauthenticated;OK;;;;NOK;
18.0;updateTask;OK;Request PATCH http://debauve.qatest.dataiku.com:80/1;401;0:00:00.021153;;
19;Update valid Task while authenticated as the owner - change status, tags and title;OK;;;;OK;
19.0;setCredentials;OK;setCredentials;0;[];;
19.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.014875;;
19.2;updateTask;OK;Request PATCH http://debauve.qatest.dataiku.com:80/1;200;0:00:00.019996;;
19.3;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/1;200;0:00:00.513824;;
19.4;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.018204;;
20;Update valid Task while authenticated as NOT the owner - change status, tags and title;OK;;;;NOK;
20.0;setCredentials;OK;setCredentials;0;[];;
20.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.015892;;
20.2;updateTask;OK;Request PATCH http://debauve.qatest.dataiku.com:80/6;403;0:00:00.018612;;
20.3;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/6;200;0:00:00.518106;;
21;Retrieve all the tags;OK;;;;OK;
21.0;listTags;OK;Request GET http://debauve.qatest.dataiku.com:80/tags;200;0:00:00.013374;;
22;Retrieve tag details for an existing tag;OK;;;;OK;
22.0;getTagInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/tags/3;200;0:00:00.020702;;
23;Retrieve tag details for an unexisting tag;OK;;;;NOK;
23.0;getTagInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/tags/29;404;0:00:00.012077;;
24;Delete task while authentified as NOT the owner;NOK;;;;NOK;
24.0;setCredentials;OK;setCredentials;0;[];;
24.1;deleteTask;NOK;Request DELETE http://debauve.qatest.dataiku.com:80/6;200;0:00:00.017186;;
25;Delete task while authentified as the owner;OK;;;;OK;
25.0;setCredentials;OK;setCredentials;0;[];;
25.1;deleteTask;OK;Request DELETE http://debauve.qatest.dataiku.com:80/1;200;0:00:00.015808;;
25.2;listTasks;OK;listTasks;0;[];;
26;Retrieve Task information for unexisting task;OK;;;;NOK;
26.0;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/69;404;0:00:00.513347;;
