Index;Title;Result;Request;Response Status;Response Time;Type;
14.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.014238;;
14.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.014198;;
15;2nd Create new task with existing tag while authentified with another user;NOK;;;;OK;
15.0;setCredentials;OK;setCredentials;0;[];;
15.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.013099;;
15.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.019106;;
16;Create new task with already existing title;NOK;;;;NOK;
16.0;setCredentials;OK;setCredentials;0;[];;
16.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.018028;;
16.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;500;0:00:00.015652;;
17;Retrieve Task information for an existing task;OK;;;;OK;
17.0;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/5;200;0:00:00.514341;;
18;Update valid Task while unauthenticated;OK;;;;NOK;
18.0;updateTask;OK;Request PATCH http://debauve.qatest.dataiku.com:80/5;401;0:00:00.013694;;
19;Update valid Task while authenticated as the owner - change status, tags and title;OK;;;;OK;
19.0;setCredentials;OK;setCredentials;0;[];;
19.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.015343;;
19.2;updateTask;OK;Request PATCH http://debauve.qatest.dataiku.com:80/2;200;0:00:00.016777;;
19.3;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/2;200;0:00:00.520279;;
19.4;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.021846;;
20;Update valid Task while authenticated as NOT the owner - change status, tags and title;OK;;;;NOK;
20.0;setCredentials;OK;setCredentials;0;[];;
20.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.013704;;
20.2;updateTask;OK;Request PATCH http://debauve.qatest.dataiku.com:80/7;403;0:00:00.020554;;
20.3;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/7;200;0:00:00.516657;;
21;Retrieve all the tags;OK;;;;OK;
21.0;listTags;OK;Request GET http://debauve.qatest.dataiku.com:80/tags;200;0:00:00.013856;;
22;Retrieve tag details for an existing tag;OK;;;;OK;
22.0;getTagInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/tags/2;200;0:00:00.014261;;
23;Retrieve tag details for an unexisting tag;OK;;;;NOK;
23.0;getTagInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/tags/92;404;0:00:00.011949;;
24;Delete task while authentified as NOT the owner;NOK;;;;NOK;
24.0;setCredentials;OK;setCredentials;0;[];;
24.1;deleteTask;NOK;Request DELETE http://debauve.qatest.dataiku.com:80/7;200;0:00:00.020572;;
25;Delete task while authentified as the owner;OK;;;;OK;
25.0;setCredentials;OK;setCredentials;0;[];;
25.1;deleteTask;OK;Request DELETE http://debauve.qatest.dataiku.com:80/2;200;0:00:00.019273;;
25.2;listTasks;OK;listTasks;0;[];;
26;Retrieve Task information for unexisting task;OK;;;;NOK;
26.0;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/21;404;0:00:00.516285;;
